time,N1725
1,3740
2,2880
3,2620
4,2860
5,2640
6,2740
7,2940
8,4040
9,3800
10,3640
11,4800
12,4140
13,3660
14,2940
15,3200
16,2860
17,2680
18,3040
19,3120
20,4120
21,4660
22,4680
23,3420
24,3960
25,3360
26,3480
27,2660
28,2720
29,2620
30,2580
31,2740
32,2980
33,4400
34,3900
35,3660
36,3240
37,3060
38,3060
39,2960
40,2320
41,2520
42,2220
43,2280
44,3120
45,2900
46,3320
47,4020
48,2920
49,2860
50,2320
51,2840
52,2320
53,2640
54,2840
55,4080
56,4160
57,3660
58,2960
59,2880
60,2380
61,2480
62,2000
63,2120
64,2620
65,2100
66,2980
67,3100
68,3420
69,2980
70,3900
71,3820
72,2760
73,3100
74,2500
75,2620
76,2020
77,1920
78,2960
79,2820
80,2940
81,3440
82,3580
83,2480
84,2620
85,2820
86,2540
87,2400
88,2220
89,2160
90,2540
91,2840
92,3040
93,3060
94,3540
95,3560
96,2360
97,3080
98,2180
99,2560
100,2520
101,2280
102,2800
103,2280
104,3020
105,3580
106,2680
107,3800
108,3000
109,2400
110,2500
111,2100
112,2380
113,2540
114,3020
115,2840
116,3200
117,3400
118,3500
119,3140
120,2860
121,3300
122,2300
123,2380
124,2560
125,2780
126,3100
