AvgFlowRate,FlowRate,AvgStaticPressure,StaticPressure,AvgCasingPressure,CasingPressure,AvgTubingPressure,TubingPressure,Loading
711,706.5961,522,525.9678,776,733.9601,609,607.4733,FALSE
711,706.5961,522,523.8666,776,734.1985,609,607.5895,FALSE
711,706.5961,522,527.5427,776,734.3147,609,609.6815,FALSE
711,690.1027,522,527.6544,776,734.4816,609,607.4539,FALSE
711,690.1027,522,525.5143,776,734.051,609,607.366,FALSE
711,690.1027,522,523.1964,776,734.7111,609,604.5931,FALSE
711,701.5277,522,525.8849,776,734.2759,609,608.716,FALSE
711,690.1027,522,526.5861,776,733.3358,609,601.0349,FALSE
711,708.5102,522,525.3587,776,733.8141,609,602.5637,FALSE
711,690.1027,522,526.0814,776,737.7075,609,605.1563,FALSE
711,690.1027,522,525.4777,776,737.7939,609,606.7819,FALSE
711,690.1027,522,526.3812,776,743.7689,609,597.7584,FALSE
711,690.1027,522,524.3742,776,741.6591,609,601.1198,FALSE
711,690.1027,522,525.378,776,743.5335,609,607.4822,FALSE
711,712.0874,522,523.9097,776,743.2206,609,597.8209,FALSE
711,690.1027,522,527.0898,776,747.8546,609,601.1675,FALSE
711,690.1027,522,524.2613,776,740.3597,609,600.1201,FALSE
711,742.4752,522,524.2613,776,741.7932,609,601.6414,FALSE
711,715.4967,522,523.2272,776,737.8997,609,597.5825,FALSE
711,690.1027,522,525.6394,776,738.6819,609,597.9595,FALSE
711,691.0204,522,523.8341,776,735.3443,609,602.0988,FALSE
711,690.1027,522,521.9578,776,734.6261,609,605.1935,FALSE
711,738.1108,522,522.2394,776,734.6485,609,611.176,FALSE
711,718.7753,522,524.8931,776,735.3264,609,614.5241,FALSE
711,716.7717,522,524.6785,776,735.5515,609,614.2857,FALSE
711,721.2322,522,520.4756,776,735.696,609,611.5485,FALSE
711,690.1027,522,521.7009,776,735.5485,609,611.0881,FALSE
711,710.8654,522,527.7169,776,735.7883,609,613.4438,FALSE
711,710.8654,522,523.9316,776,734.8973,609,608.8188,FALSE
711,710.8654,522,521.5783,776,735.1193,609,603.188,FALSE
711,710.8654,522,522.9478,776,734.3654,609,610.4504,FALSE
711,710.8654,522,522.4938,776,733.7396,609,611.1343,FALSE
711,710.8654,522,517.0412,776,734.6946,609,602.0422,FALSE
711,710.8654,522,516.1833,776,737.2441,609,595.4532,FALSE
711,710.8654,522,518.8192,776,737.6569,609,600.6356,FALSE
711,710.8654,522,518.7253,776,743.751,609,593.5431,FALSE
711,715.6566,522,516.5833,776,739.2512,609,595.5069,FALSE
711,710.8654,522,515.9711,776,741.6158,609,598.037,FALSE
711,711.6389,522,517.901,776,743.9537,609,598.6792,FALSE
711,710.8654,522,516.4393,776,750.7258,609,596.018,FALSE
711,710.8654,522,514.9675,776,741.7634,609,596.2415,FALSE
711,710.8654,522,516.257,776,736.809,609,595.6335,FALSE
711,710.8654,522,516.2057,776,733.6293,609,594.8423,FALSE
711,726.5557,522,516.8472,776,733.4996,609,600.7444,FALSE
711,710.8654,522,515.4465,776,728.9566,609,601.3493,FALSE
711,710.8654,522,517.501,776,728.5066,609,601.9095,FALSE
711,710.8654,522,518.6083,776,728.5543,609,601.014,FALSE
711,730.7986,522,519.3163,776,728.7852,609,600.2124,FALSE
711,720.3914,522,515.9844,776,729.1428,609,602.3685,FALSE
711,719.274,522,516.6732,776,729.3902,609,601.2838,FALSE
711,710.8654,522,519.07,776,729.937,609,601.9438,FALSE
711,705.8278,522,517.7752,776,729.9951,609,600.7533,FALSE
711,744.8996,522,517.1129,776,730.2544,609,605.6823,FALSE
711,692.8871,522,517.6431,776,730.679,609,606.4154,FALSE
711,708.0502,522,518.1198,776,730.4302,609,607.7922,FALSE
711,698.2868,522,516.1094,776,728.0432,609,599.1038,FALSE
711,692.8871,522,519.3287,776,729.8804,609,595.3013,FALSE
